# VarAstro Metadata Begin
# ObservationId: 110560
# StarName: HD189733
# RA: 20h 00m 43.70s (300.1820833333)
# DE: +22° 42' 39.00" (22.7108333333)
# ObserverName: Vittorio Tortorella
# Station: De Ritis Telescope of the Federico II University
# Latitude: 40
# Longitude: 14
# Filter: Clear
# JD: GJD
# Unit: Mag
# VarAstro Metadata End
JD mag_rel
2460957.288568 0.005622
2460957.288810 -0.016824
2460957.289053 -0.012724
2460957.289296 -0.005839
2460957.289539 -0.022262
2460957.289782 -0.000993
2460957.290024 -0.003846
2460957.290268 -0.010093
2460957.290511 -0.017701
2460957.290753 -0.001095
2460957.290997 -0.005999
2460957.291240 -0.016059
2460957.291483 -0.008214
2460957.291725 -0.005670
2460957.291968 -0.018916
2460957.292211 -0.009077
2460957.292454 -0.022332
2460957.292697 -0.037545
2460957.292939 -0.016478
2460957.293182 -0.017151
2460957.293424 -0.008368
2460957.293668 0.010519
2460957.293910 -0.012897
2460957.294153 -0.015139
2460957.294396 0.000343
2460957.294639 -0.014124
2460957.294882 -0.030048
2460957.295124 0.006420
2460957.295366 0.018526
2460957.295609 -0.002102
2460957.295852 -0.005460
2460957.296095 0.005236
2460957.296338 -0.002786
2460957.296581 -0.094831
2460957.296823 -0.000722
2460957.297065 -0.020898
2460957.297308 -0.015213
2460957.297551 -0.008865
2460957.297794 -0.002418
2460957.298037 -0.017963
2460957.298280 -0.037368
2460957.298523 -0.010789
2460957.298765 -0.005348
2460957.299008 0.012999
2460957.299251 -0.031191
2460957.299493 -0.011112
2460957.299736 0.002793
2460957.299979 0.014774
2460957.300223 -0.015977
2460957.300466 0.003320
2460957.300709 -0.031802
2460957.300952 -0.023849
2460957.301195 -0.015425
2460957.301438 0.017275
2460957.301681 -0.005848
2460957.301924 -0.038458
2460957.302167 -0.002791
2460957.302410 -0.013934
2460957.302653 -0.041403
2460957.302896 -0.044439
2460957.303138 -0.027427
2460957.303381 0.005197
2460957.303624 -0.012223
2460957.303866 0.016138
2460957.304109 -0.016629
2460957.304351 -0.018355
2460957.304594 -0.008368
2460957.304837 -0.016572
2460957.305080 0.000603
2460957.305323 -0.009586
2460957.305566 -0.006351
2460957.305809 -0.016444
2460957.306053 -0.017210
2460957.306296 0.001604
2460957.306539 -0.007853
2460957.306782 -0.003299
2460957.307025 0.009631
2460957.307268 0.004489
2460957.307511 -0.029569
2460957.307753 -0.041241
2460957.307997 -0.022411
2460957.308240 -0.040594
2460957.308482 -0.006863
2460957.308726 -0.020987
2460957.308969 -0.003711
2460957.309212 -0.011417
2460957.309455 -0.029858
2460957.309698 -0.022569
2460957.309941 -0.001575
2460957.310184 -0.003949
2460957.310427 -0.027565
2460957.310669 -0.034331
2460957.310912 0.011439
2460957.311155 0.002873
2460957.311398 0.003603
2460957.311642 -0.002034
2460957.311884 -0.012877
2460957.312127 0.002537
2460957.312370 -0.001901
2460957.312613 0.001761
2460957.312856 0.004872
2460957.313098 -0.006228
2460957.313341 -0.015645
2460957.313584 0.002375
2460957.313827 0.015068
2460957.314069 -0.018521
2460957.314311 0.000928
2460957.314555 0.016706
2460957.314797 -0.006408
2460957.315040 -0.001640
2460957.315284 -0.005098
2460957.315526 -0.020150
2460957.315768 -0.004843
2460957.316012 0.009174
2460957.316255 -0.014531
2460957.316497 0.016080
2460957.316739 0.000394
2460957.316983 -0.009073
2460957.317225 0.018328
2460957.317468 0.019615
2460957.317712 -0.000670
2460957.317955 0.012597
2460957.318198 -0.005265
2460957.318441 0.009701
2460957.318684 0.010164
2460957.318927 -0.001039
2460957.319170 -0.009577
2460957.319412 -0.013386
2460957.319655 0.027657
2460957.319899 0.001098
2460957.320141 0.023205
2460957.320383 0.001575
2460957.320627 -0.010039
2460957.320869 0.000539
2460957.321112 0.011674
2460957.321355 0.001305
2460957.321599 -0.001635
2460957.321842 0.001089
2460957.322084 0.010993
2460957.322327 0.001538
2460957.322570 0.015541
2460957.322812 0.013736
2460957.323055 0.038595
2460957.323297 0.005766
2460957.323540 0.025004
2460957.323783 0.015199
2460957.324025 0.023394
2460957.324268 0.019367
2460957.324511 0.019658
2460957.324752 0.022701
2460957.324996 0.005193
2460957.325239 0.037880
2460957.325481 0.008288
2460957.325724 0.000436
2460957.325967 0.011724
2460957.326210 0.034083
2460957.326453 0.022323
2460957.326696 0.011484
2460957.326939 0.010056
2460957.327182 0.028617
2460957.327424 0.017753
2460957.327667 0.009981
2460957.327909 0.019489
2460957.328152 0.022413
2460957.328395 0.034077
2460957.328637 0.008686
2460957.328880 0.003808
2460957.329123 0.020167
2460957.329366 0.010088
2460957.329609 0.031392
2460957.329851 0.026808
2460957.330094 0.016977
2460957.330336 0.028005
2460957.330580 0.007136
2460957.330822 0.016357
2460957.331064 0.002067
2460957.331308 0.013846
2460957.331550 0.051048
2460957.331793 0.011755
2460957.332035 0.002263
2460957.332277 0.007229
2460957.332520 0.034079
2460957.332763 0.011374
2460957.333005 0.029645
2460957.333248 -0.004964
2460957.333491 0.007797
2460957.333733 -0.002235
2460957.333975 0.027282
2460957.334219 0.020039
2460957.334462 -0.011761
2460957.334705 0.016886
2460957.334948 0.050571
2460957.335191 -0.018927
2460957.335433 -0.020335
2460957.335675 0.002370
2460957.335919 0.011089
2460957.336161 0.001372
2460957.336403 -0.018919
2460957.336646 -0.003761
2460957.336888 0.016570
2460957.337131 -0.017599
2460957.337373 0.007126
2460957.337616 0.036001
2460957.337858 0.018275
2460957.338101 0.015056
2460957.338344 0.009137
2460957.338586 0.028885
2460957.338829 0.033441
2460957.339072 0.013376
2460957.339315 0.032223
2460957.339557 0.025948
2460957.339800 0.037104
2460957.340042 0.003086
2460957.340285 -0.006917
2460957.340528 0.015176
2460957.340771 0.011227
2460957.341013 0.024567
2460957.341255 0.014419
2460957.341498 -0.002865
2460957.341741 0.015139
2460957.341984 0.041824
2460957.342227 0.033756
2460957.342470 0.025289
2460957.342714 0.012451
2460957.342957 0.019986
2460957.343199 0.017266
2460957.343442 0.034134
2460957.343685 0.000632
2460957.343928 0.033154
2460957.344171 0.022161
2460957.344414 0.004676
2460957.344656 0.030815
2460957.344899 0.032620
2460957.345143 0.012767
